time,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8
16:03:16,36.4,31.4,6.9,3.0,0.0,0.0,1.0,0.0
16:03:17,24.8,24.2,11.9,5.9,3.0,2.0,1.0,0.0
16:03:18,47.5,50.0,10.0,2.0,2.0,1.0,0.0,1.0
16:03:19,55.6,62.7,5.0,5.0,1.0,0.0,0.0,0.0
16:03:20,17.0,23.2,7.9,2.0,0.0,0.0,0.0,0.0
16:03:21,19.0,16.0,9.0,3.0,1.0,1.0,0.0,0.0
16:03:22,26.0,25.0,12.9,5.9,2.0,2.0,0.0,1.0
16:03:23,24.2,25.3,8.1,5.1,1.0,1.0,1.0,0.0
16:03:24,18.0,16.0,8.0,4.0,1.0,1.0,0.0,0.0
16:03:25,20.0,15.0,11.9,3.0,2.0,2.0,0.0,0.0
16:03:26,25.0,21.0,11.0,6.0,0.0,0.0,1.0,0.0
16:03:27,23.8,20.0,16.8,3.0,2.0,0.0,0.0,0.0
16:03:28,20.2,20.2,7.1,1.0,0.0,0.0,0.0,0.0
16:03:29,29.0,26.0,6.9,4.0,0.0,1.0,0.0,0.0
16:03:30,42.0,40.0,8.0,3.0,1.0,0.0,1.0,0.0
16:03:31,23.8,22.8,9.9,2.0,0.0,0.0,0.0,0.0
16:03:32,22.8,17.0,8.9,4.0,2.0,1.0,0.0,0.0
16:03:33,21.2,21.0,9.0,3.0,2.0,2.0,0.0,0.0
16:03:34,20.0,22.8,11.0,4.0,0.0,1.0,0.0,0.0
16:03:35,22.8,21.0,10.0,3.0,1.0,0.0,0.0,0.0
16:03:36,25.0,24.0,15.0,7.9,6.9,6.9,6.0,5.9
16:03:37,19.0,19.2,15.7,8.9,5.0,3.0,2.0,1.0
16:03:38,20.0,20.8,6.1,1.0,1.0,0.0,0.0,0.0
16:03:39,25.0,24.2,15.0,5.9,1.0,1.0,0.0,0.0
16:03:40,63.0,72.0,12.0,4.0,1.0,1.0,1.0,0.0
16:03:41,37.4,36.4,9.0,5.0,2.0,2.0,0.0,0.0
16:03:42,22.0,20.6,14.0,4.0,1.0,2.9,0.0,0.0
16:03:43,26.0,27.0,12.9,2.0,1.0,0.0,1.0,0.0
16:03:44,25.7,27.3,9.0,3.0,0.0,0.0,0.0,0.0
16:03:45,25.3,21.8,9.0,4.0,1.0,2.0,0.0,0.0
16:03:46,22.0,21.0,9.0,6.0,1.0,0.0,2.0,0.0
16:03:47,22.8,22.0,11.0,4.0,1.0,0.0,0.0,0.0
16:03:48,23.2,22.0,13.9,4.0,1.0,2.0,0.0,0.0
16:03:49,19.0,19.2,10.0,2.0,0.0,1.0,0.0,0.0
16:03:50,18.8,18.8,7.9,1.0,2.0,0.0,0.0,0.0
16:03:51,65.3,57.0,9.0,4.0,1.0,0.0,0.0,0.0
16:03:52,48.5,48.5,13.0,6.0,1.0,0.0,0.0,0.0
16:03:53,20.8,19.2,11.0,5.0,0.0,0.0,0.0,0.0
16:03:54,23.2,25.0,13.0,4.0,0.0,1.0,0.0,0.0
16:03:55,21.8,19.0,8.9,2.0,1.0,0.0,0.0,0.0
16:03:56,44.4,45.5,14.0,6.0,5.0,1.0,0.0,0.0
16:03:57,42.2,44.0,21.8,12.9,10.9,8.0,5.9,5.0
16:03:58,23.2,24.0,26.0,17.0,4.0,2.9,2.0,1.0
16:03:59,34.3,36.0,18.2,6.9,4.0,2.0,1.0,1.0
16:04:00,18.8,21.8,12.0,4.0,0.0,0.0,0.0,0.0
16:04:01,24.0,20.2,10.8,3.0,1.0,0.0,0.0,1.0
16:04:02,15.0,15.8,4.0,1.0,2.0,0.0,0.0,0.0
16:04:03,51.0,51.5,7.0,6.9,0.0,1.0,2.0,0.0
16:04:04,54.5,52.5,10.0,5.0,1.0,2.0,0.0,0.0
16:04:05,25.7,24.2,8.0,4.0,2.0,2.0,0.0,0.0
16:04:06,16.3,17.0,7.0,4.0,1.0,1.0,0.0,2.0
16:04:07,16.8,15.8,8.0,2.0,0.0,0.0,0.0,0.0
16:04:08,14.1,14.0,6.9,5.9,1.0,0.0,0.0,0.0
16:04:09,17.0,17.0,9.0,5.1,1.0,0.0,0.0,0.0
